,continentEnglishName,countryName,countryEnglishName,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,updateTime
0,North America,美国,United States of America,124217,0.0,1095,2185,2020-03-29
1,Europe,德国,Germany,58101,0.0,8481,474,2020-03-29
2,Asia,巴基斯坦,Pakistan,1495,0.0,25,12,2020-03-29
3,Europe,芬兰,Finland,1163,0.0,10,9,2020-03-29
4,Europe,波黑,Bosnia and Herzegovina,233,0.0,5,4,2020-03-29
5,Asia,阿富汗,Afghanistan,117,0.0,0,2,2020-03-29
6,Oceania,澳大利亚,Australia,3809,0.0,119,16,2020-03-29
7,Europe,瑞士,Switzerland,13213,0.0,1530,235,2020-03-29
8,Europe,荷兰,Netherlands,9762,0.0,2954,639,2020-03-29
9,North America,加拿大,Canada,5655,0.0,345,61,2020-03-29
10,Europe,葡萄牙,Portugal,4268,0.0,22,76,2020-03-29
11,Asia,以色列,Israel,3619,0.0,89,12,2020-03-29
12,Oceania,澳大利亚,Australia,3635,0.0,119,16,2020-03-29
13,Europe,捷克,Czech Republic,2622,0.0,11,11,2020-03-29
14,Asia,马来西亚,Malaysia,2320,0.0,320,27,2020-03-29
15,Europe,卢森堡,Luxembourg,1831,0.0,0,18,2020-03-29
16,Europe,波兰,Poland,1638,0.0,13,18,2020-03-29
17,Asia,巴基斯坦,Pakistan,1495,0.0,25,12,2020-03-29
18,Europe,罗马尼亚,Romania,1292,0.0,115,24,2020-03-29
19,Asia,菲律宾,Philippines,1075,0.0,35,68,2020-03-29
20,North America,巴拿马,Panama,901,0.0,0,17,2020-03-29
21,North America,墨西哥,Mexico,848,0.0,1,16,2020-03-29
22,South America,阿根廷,Argentina,745,0.0,1,19,2020-03-29
23,South America,秘鲁,Peru,671,0.0,14,16,2020-03-29
24,Asia,新加坡,Singapore,802,0.0,183,2,2020-03-29
25,Africa,埃及,Egypt,576,0.0,121,36,2020-03-29
26,Asia,阿联酋,United Arab Emirates,468,0.0,55,2,2020-03-29
27,Oceania,新西兰,New Zealand,451,4.0,50,0,2020-03-29
28,Africa,阿尔及利亚,Algeria,454,0.0,29,29,2020-03-29
29,Asia,黎巴嫩,Lebanon,412,0.0,27,8,2020-03-29
30,Europe,立陶宛,Lithuania,382,0.0,1,7,2020-03-29
31,Africa,摩洛哥,Morocco,402,0.0,12,25,2020-03-29
32,Asia,亚美尼亚,Armenia,372,0.0,28,1,2020-03-29
33,Europe,乌克兰,Ukraine,356,0.0,5,9,2020-03-29
34,Asia,约旦,Jordan,246,0.0,18,1,2020-03-29
35,Europe,波黑,Bosnia and Herzegovina,233,0.0,5,4,2020-03-29
36,Others,钻石公主号邮轮,Diamond Princess Cruise Ship,712,0.0,574,10,2020-03-29
37,Asia,阿富汗,Afghanistan,117,0.0,0,2,2020-03-29
38,Europe,意大利,Italy,93051,0.0,12384,10023,2020-03-29
39,Europe,德国,Germany,54268,0.0,8481,398,2020-03-29
40,Asia,韩国,Korea,9583,0.0,5033,152,2020-03-29
41,Europe,塞尔维亚,Republic of Serbia,659,0.0,0,10,2020-03-29
110,North America,美国,United States of America,121117,0.0,991,2010,2020-03-29
111,Europe,意大利,Italy,92472,0.0,12384,10023,2020-03-29
112,Europe,西班牙,Spain,72248,0.0,12285,5690,2020-03-29
113,Europe,德国,Germany,52802,0.0,6932,378,2020-03-29
114,Europe,法国,France,37575,0.0,5700,2314,2020-03-29
115,Asia,伊朗,Iran,35408,0.0,11679,2517,2020-03-29
116,Europe,英国,United Kingdom,17089,0.0,135,1019,2020-03-29
117,Europe,瑞士,Switzerland,13213,0.0,1530,235,2020-03-29
118,Europe,比利时,Belgium,9134,0.0,350,353,2020-03-29
119,Europe,奥地利,Austria,7697,0.0,225,68,2020-03-29
120,Asia,土耳其,Turkey,7402,0.0,70,108,2020-03-29
121,Europe,荷兰,Netherlands,9762,0.0,2954,639,2020-03-29
122,North America,加拿大,Canada,5434,0.0,345,59,2020-03-29
123,Asia,韩国,Korea,9478,0.0,4811,144,2020-03-29
124,Europe,挪威,Norway,3981,0.0,0,22,2020-03-29
125,Asia,以色列,Israel,3619,0.0,89,12,2020-03-29
126,Oceania,澳大利亚,Australia,3635,0.0,119,14,2020-03-29
127,Europe,瑞典,Sweden,3447,0.0,17,102,2020-03-29
128,South America,巴西,Brazil,3417,0.0,0,92,2020-03-29
129,Europe,捷克,Czech Republic,2622,0.0,11,11,2020-03-29
130,Europe,爱尔兰,Ireland,2415,0.0,0,36,2020-03-29
131,Europe,丹麦,Denmark,2201,0.0,1,65,2020-03-29
132,Asia,马来西亚,Malaysia,2320,0.0,320,27,2020-03-29
133,South America,智利,Chile,1909,0.0,43,6,2020-03-29
134,Europe,卢森堡,Luxembourg,1831,0.0,0,18,2020-03-29
135,Europe,波兰,Poland,1638,0.0,13,18,2020-03-29
136,South America,厄瓜多尔,Ecuador,1595,0.0,0,36,2020-03-29
137,Asia,巴基斯坦,Pakistan,1495,0.0,25,12,2020-03-29
138,Asia,日本,Japan,1724,0.0,372,54,2020-03-29
139,Europe,俄罗斯,Russia,1264,0.0,49,4,2020-03-29
140,Africa,南非,South Africa,1187,0.0,1,2,2020-03-29
141,Asia,沙特阿拉伯,Saudi Arabia,1203,0.0,37,4,2020-03-29
142,Europe,芬兰,Finland,1163,0.0,10,9,2020-03-29
